Fraser,Bournemouth,94,£4.6
Pugh,Bournemouth,60,£4.6
Surman,Bournemouth,42,£4.6
Stanislas,Bournemouth,88,£4.6
Mason,Hull,26,£4.6
Elmohamady,Hull,59,£4.6
Ndidi,Leicester,50,£4.6
Clasie,Southampton,36,£4.6
Adam,Stoke,59,£4.6
Cork,Swansea,49,£4.6
Doucouré,Watford,33,£4.6
Elneny,Arsenal,26,£4.5
Reine-Adelaide,Arsenal,0,£4.5
Maitland-Niles,Arsenal,1,£4.5
Westwood,Burnley,10,£4.5
Chalobah,Chelsea,11,£4.5
Phillips,Crystal Palace,0,£4.5
Wan-Bissaka,Crystal Palace,0,£4.5
Kaikai,Crystal Palace,0,£4.5
Schneiderlin,Everton,33,£4.5
Joe Williams,Everton,0,£4.5
Huddlestone,Hull,60,£4.5
Wilson,Liverpool,0,£4.5
Willock,Man Utd,0,£4.5
McTominay,Man Utd,1,£4.5
Forshaw,Middlesbrough,74,£4.5
Hesketh,Southampton,0,£4.5
Imbula,Stoke,24,£4.5
Verlinden,Stoke,0,£4.5
Honeyman,Sunderland,7,£4.5
Ethan Robson,Sunderland,0,£4.5
James,Swansea,0,£4.5
Routledge,Swansea,74,£4.5
Winks,Spurs,30,£4.5
Stewart,Watford,0,£4.5
Pereira,Watford,1,£4.5
Capoue,Watford,120,£4.5
Behrami,Watford,43,£4.5
Harper,West Brom,0,£4.5
Quina,West Ham,0,£4.5
Rice,West Ham,0,£4.5
Makasi,West Ham,0,£4.5
Holland,West Ham,0,£4.5
Dreher,Crystal Palace,0,£4.4
Davies,Everton,59,£4.4
Meyler,Hull,33,£4.4
Mendy,Leicester,6,£4.4
Ejaria,Liverpool,2,£4.4
Lucas,Liverpool,45,£4.4
Oriol Romeu,Southampton,74,£4.4
Isgrove,Southampton,0,£4.4
Olomola,Southampton,0,£4.4
Ireland,Stoke,0,£4.4
Asoro,Sunderland,1,£4.4
Embleton,Sunderland,0,£4.4
Britton,Swansea,27,£4.4
Fulton,Swansea,19,£4.4
Fletcher,West Brom,94,£4.4
Cullen,West Ham,0,£4.4
Marney,Burnley,51,£4.3
Ledley,Crystal Palace,40,£4.3
Barry,Everton,66,£4.3
Besic,Everton,0,£4.3
Olley,Hull,0,£4.3
Maloney,Hull,23,£4.3
Amartey,Leicester,49,£4.3
Alexander-Arnold,Liverpool,8,£4.3
Woodburn,Liverpool,4,£4.3
Grujic,Liverpool,3,£4.3
Clayton,Middlesbrough,67,£4.3
Leadbitter,Middlesbrough,25,£4.3
de Roon,Middlesbrough,90,£4.3
Reed,Southampton,3,£4.3
Whelan,Stoke,58,£4.3
Rodwell,Sunderland,36,£4.3
Gibson,Sunderland,14,£4.3
Morrison,West Brom,81,£4.3
Yacob,West Brom,49,£4.3
Field,West Brom,9,£4.3
Obiang,West Ham,55,£4.3
Coquelin,Arsenal,49,£4.2
Lewis Cook,Bournemouth,11,£4.2
Flamini,Crystal Palace,12,£4.2
Lee Chung-yong,Crystal Palace,24,£4.2
Carrick,Man Utd,39,£4.2
Guédioura,Middlesbrough,26,£4.2
Højbjerg,Southampton,36,£4.2
McQueen,Southampton,23,£4.2
Sims,Southampton,12,£4.2
Kirchhoff,Sunderland,12,£4.2
Cattermole,Sunderland,9,£4.2
Oviedo,Sunderland,25,£4.2
Onomah,Spurs,5,£4.2
Watson,Watford,1,£4.2
Leko,West Brom,11,£4.2
Barton,Burnley,37,£4.1
N'Diaye,Hull,31,£4.1
Gooch,Sunderland,10,£4.1
Carroll,Swansea,47,£4.1
Agüero,Man City,153,£12.7
Kane,Spurs,176,£11.7
Ibrahimovic,Man Utd,163,£11.4
Costa,Chelsea,190,£10.5
Lukaku,Everton,211,£10.2
Vardy,Leicester,148,£9.9
Sturridge,Liverpool,42,£9.6
Jesus,Man City,37,£8.9
Rooney,Man Utd,66,£8.6
Batshuayi,Chelsea,25,£8.4
Slimani,Leicester,76,£8.2
Giroud,Arsenal,98,£8.0
Pérez,Arsenal,20,£7.8
Defoe,Sunderland,162,£7.5
Janssen,Spurs,53,£7.5
Welbeck,Arsenal,27,£7.3
Christian Benteke,Crystal Palace,127,£7.3
Musa,Leicester,38,£6.9
Bony,Stoke,29,£6.9
Deeney,Watford,127,£6.7
Gabbiadini,Southampton,37,£6.6
Bastón,Swansea,32,£6.6
Calleri,West Ham,22,£6.6
Rashford,Man Utd,74,£6.5
Austin,Southampton,59,£6.3
Rondón,West Brom,112,£6.3
Remy,Crystal Palace,6,£6.2
